CBSAFP2,zone_name,is_nonmsa,n_bg,SUM_TotPop,D1B_weighted,D1D_weighted,D2A_weighted,D3B_weighted,pct_near_transit,D5AR_weighted,pct_white,pct_male,avg_hh_size,Veh_Within,ATF_Within,atf_share_within,atf_share_total
RPA2,PA-NonMSA areas (NW),1,522,567919,2.281621538102881,1.8508304301651055,0.5577450941776366,46.94002622338301,0.0,4551.243930912683,94.67051687034456,50.42969123919124,2.456663081204193,374478579,75298644.0,0.167413199578583,0.164268629720831
37340,"Palm Bay-Melbourne-Titusville, FL",0,318,576808,4.365581358955212,3.1488684674851264,0.4678336399558345,58.28785814785758,54.74369287527219,15054.957996421686,74.43702637201605,48.91692157395215,2.541075528281333,505201183,66981701.0,0.117063447497322,0.116743367987254
37460,"Panama City, FL",0,124,198537,5.017738106017084,3.5584171066595176,0.5596736501268215,48.44926612058958,38.1651782791117,9519.927353591522,76.13142709760945,50.39016471373592,2.562057036240428,167353161,21625790.0,0.114434913970921,0.113919602137452
37620,"Parkersburg-Vienna, WV",0,73,91353,2.5332945364423,2.338200465829476,0.5361836766605877,52.38407524422419,0.0,8353.338664302213,95.39544723330174,48.46735274025431,2.3888084647171848,75431624,9450392.0,0.111335621,0.106990875862025
37860,"Pensacola-Ferry Pass-Brent, FL",0,269,481964,3.207549536386443,2.4318621164909366,0.5188981400480875,42.62391015119733,35.305541492725595,14880.27130449577,70.79033929617447,50.06963702723627,2.65903124965962,379735098,46726319.0,0.109567518038801,0.108882976521802
37900,"Peoria, IL",0,277,374426,3.461282498080017,2.969470463283409,0.542705354618096,50.99193464134876,42.20914145919354,28553.722917211944,82.32716768291863,48.94954423318477,2.491195507966926,309936092,49400424.0,0.137476771216872,0.136628303931684
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0,4306,6069448,15.469816819966834,11.29831571474841,0.5148541289989005,100.86445442362611,66.20317037068281,146910.0261689366,61.77301686261028,48.35226422201861,2.666154118745044,5095698364,1207161882.0,0.191526042920927,0.190286563620456
38060,"Phoenix-Mesa-Scottsdale, AZ",0,2704,4673634,9.109627118231591,5.8490617857424745,0.431334224761852,103.06751466247522,56.64600608434465,91941.7836563582,55.381601532089086,49.69295004224418,2.81186621439994,4428979037,655536166.0,0.128927958679957,0.128840132217544
38220,"Pine Bluff, AR",0,88,92345,1.5787644271531254,1.1607878237177924,0.4534705921596866,44.70974297690887,0.0,8378.737192051545,46.71985913167887,51.61613382490508,2.689029623272469,72451619,7193361.0,0.09031782,0.089549155
38300,"Pittsburgh, PA",0,2033,2464467,5.354385515317592,5.4228235083642575,0.5322965083621358,87.82723779322856,36.25059698506817,54836.40983263318,85.74062216400195,48.72385179247296,2.3145507683605167,2026493332,436934104.0,0.177368367996044,0.176864342685822
38340,"Pittsfield, MA",0,143,127328,3.3331455451177163,3.0506891527778466,0.5458148444214763,39.09291150833119,55.71751696406132,5858.452987559688,88.10599169468064,48.36859798299387,2.3064783901629173,126959965,30084564.0,0.191567093687167,0.189919398645205
38540,"Pocatello, ID",0,60,85065,4.154865105456383,3.187717738678994,0.5276412259506854,58.12871089652841,0.0,9812.796355727973,83.6751588643386,49.8186906080569,2.752848659926176,85590094,12900859.0,0.130985218510374,0.130312259
38940,"Port St. Lucie, FL",0,235,463172,4.501532083477312,3.3964493059968888,0.4691399826925881,53.1759827331834,0.0,15950.194830430164,64.38141403184665,49.0313805581214,2.6326880065146216,412089056,55706833.0,0.119083630938022,0.118089409669093
38860,"Portland-South Portland, ME",0,381,529323,3.509594010595268,3.856325640735869,0.5533447317411414,40.23996724165004,23.51362022810269,21966.92377810902,92.08927312878824,48.6367523375464,2.397403779433896,463227841,75289074.0,0.139808187826375,0.137437409226942
38900,"Portland-Vancouver-Hillsboro, OR-WA",0,1421,2417931,9.822398461172268,8.566127965057651,0.5305221726607424,113.21370842875442,73.7220375602116,57908.922167754165,73.29546918116692,49.494165619616965,2.605626615358718,1782634994,368111027.0,0.171155042671586,0.170656773906243
39140,"Prescott, AZ",0,114,224645,2.148424308981823,1.589870991548051,0.4764114440548275,32.88332336479829,12.308753811569364,2911.5474281644374,80.45749713899862,48.86721884358544,2.318083873721871,203037738,31103388.0,0.132840345185664,0.129922798307663
39300,"Providence-Warwick, RI-MA",0,1205,1615516,10.234327473612348,7.365006587374681,0.5247726418688625,102.5940597018546,65.33262437512225,69454.9863548241,75.23024616441776,48.53231973937568,2.5752155072955007,1572926602,280990508.0,0.151565842121172,0.149753803105154
39340,"Provo-Orem, UT",0,352,601388,8.164477342589427,4.581792658445221,0.5537166755603197,74.19725145983878,51.88064943098299,38724.465232096416,82.49455650293211,50.52910953629349,3.639851287952554,614729360,94206453.0,0.1328843193876,0.132264414625948
39380,"Pueblo, CO",0,134,164685,5.213115183335315,3.492718128727397,0.4231876327631848,80.47341974227132,1.077208003157543,12481.944834077178,52.05624706293454,49.24509886614212,2.5808066672886154,160337542,23587677.0,0.128246018290727,0.128055669787058
39460,"Punta Gorda, FL",0,108,176954,2.763755155135556,2.3099816901634043,0.435019284750631,61.9009895779379,0.5735953976739718,7312.011856188614,83.91258484428415,48.85760519586672,2.3548529736900288,151737161,21233346.0,0.122757032,0.11702717
39540,"Racine, WI",0,167,195398,6.042354796257115,4.253876740065278,0.5151559525516293,71.8886124104505,47.98104381825812,53480.69906549709,71.95325201173813,49.5388595208638,2.541143762829007,142033954,21164157.0,0.129683835617435,0.125230362594629
39580,"Raleigh, NC",0,569,1302632,3.985346697223311,3.395128021337507,0.5346255204373891,53.32804879132361,31.32450300622125,51684.770432478246,61.3461121314768,48.75565840107903,2.694144434715614,1082440056,141835631.0,0.115852689476794,0.11463129127137
39660,"Rapid City, SD",0,90,145291,2.7261586014577084,2.38784682388867,0.5281582085913594,49.261596817854766,0.0,9263.357097136091,81.93595747717865,50.59576810924341,2.494548722383302,148198302,16938816.0,0.102574249842485,0.102365680164565
39740,"Reading, PA",0,265,416642,9.613593273235594,6.1379110081057,0.5467594032238065,85.90489761937064,0.0,47801.185855002615,71.7014532623647,49.19275162968722,2.7019558922384816,333902759,62649268.0,0.157984989949377,0.15271885246565
39820,"Redding, CA",0,131,179085,2.786788711273769,2.3367692282029484,0.5245074886536447,35.92414321687436,50.29120250160538,9067.661641120138,79.80101778898735,49.1300805749615,2.517694328542729,199658105,28690301.0,0.125642659401791,0.125170753946166
39900,"Reno, NV",0,315,454427,8.638378913120281,6.322155057533626,0.4312000053536035,80.19702688175187,52.99244983242632,26565.79239789889,63.26162230649738,50.37685171525024,2.5076520480721625,466596209,70500040.0,0.131261464088162,0.130907951114402
40060,"Richmond, VA",0,744,1281530,4.523096968854114,3.825525944198783,0.484993559191138,53.86096784878378,27.175407520697917,59105.83742401661,57.37828039809138,48.34627483526946,2.641440701513517,1131089312,156224825.0,0.121357188979585,0.121037258075837
40140,"Riverside-San Bernardino-Ontario, CA",0,2122,4518699,8.80919213864638,4.39818813978556,0.4891293819506871,73.12507029487577,65.65507018723751,58036.2014135042,32.11879477334573,49.79149078932654,3.350985426185252,4559518937,726451274.0,0.137430073383363,0.136199493595827
40220,"Roanoke, VA",0,209,313291,3.0036718061360785,2.745435676588749,0.5196195804771919,41.04881238031326,39.282328569923806,24644.61088253413,78.32266803829921,48.071780683622514,2.437157406253893,289130685,35233619.0,0.108623601812855,0.107770616347173
40340,"Rochester, MN",0,206,266882,3.4645942801641945,3.930278578791808,0.5297133947130862,47.72193322154376,21.044881258383853,15054.58631155342,85.5208065830756,49.33510489822806,2.51247405135494,208918892,29362771.0,0.123227153236714,0.122243396253974
40380,"Rochester, NY",0,850,1074667,5.307751767632454,4.533504878451539,0.5076273696874422,51.89219329448212,48.33757805906388,52202.90181981953,76.5329110419927,48.6202985057933,2.4771295250892957,844395284,223219271.0,0.209082266586371,0.208393553
40420,"Rockford, IL",0,290,339780,4.525092517927697,3.398663748547745,0.4764696071844349,65.79571981078296,0.4570604508799812,35347.62857731473,69.64676258142312,49.01080518743572,2.537352830896138,314208902,45757478.0,0.127115976775387,0.125879935281079
40580,"Rocky Mount, NC",0,112,147335,1.2290037098585782,1.0323344737197344,0.507578078987258,26.728623790904457,27.734075406386804,9736.813038314049,44.97675179645209,47.37929341823586,2.521887142808019,100759363,13184912.0,0.11571368548354,0.113599475638892
40660,"Rome, GA",0,56,96824,1.4479715514230909,1.3176763829951954,0.4966776053989004,24.338650783525196,0.0,9834.716981326945,70.76379545851348,48.38192853988436,2.7290282799405814,99249748,10099157.0,0.092357185,0.091918297
RSC2,SC-NonMSA areas (E),1,298,351458,0.8738827025120731,0.652532397653002,0.4850158468265831,23.947343302868525,0.0,5401.3438533196,45.51731436432958,47.90445708663332,2.598519476465473,248096821,30137820.0,0.108318001,0.104152020209024
RSC1,SC-NonMSA areas (W),1,203,245361,0.7003597501072308,0.6018461289704281,0.5286449263630375,19.217072661628933,0.0,4986.776276588374,54.72905034783248,48.51343508080668,2.570855137338965,183680510,20856662.0,0.101970032,0.100134854160792
RSD2,SD-NonMSA areas (Central),1,98,107569,0.6680463236340255,0.6320545779797173,0.5840289283122442,14.121560802094333,0.0,1176.8157275795072,56.06977870501453,49.80999925489904,2.823541787198233,63289008,9119909.0,0.125950081534847,0.124417847791787
RSD1,SD-NonMSA areas (E),1,260,297017,2.0429694793576005,1.6607899961811348,0.6106550091063367,37.62482503172991,0.0,3695.382994912749,87.24548300641945,50.76687168140105,2.4728250927173243,246991520,32161843.0,0.115212092214701,0.11428758567521
RSD3,SD-NonMSA areas (NW),1,33,43797,1.124040202062948,1.02399972501523,0.6141906871970061,26.55894528802404,0.0,2405.127109162728,85.35500272380607,50.28599963682586,2.4176041266531305,34272373,4459877.0,0.115146344454557,0.113482774217174
